Id,Name,Type,Inn,Rating,StartDate
1,ГаражТелекомГор, МКК,1718185951,36,2011-12-20 00:00:00.000
2,Компания Омск, ОАО,1878504395,2,2012-09-13 00:00:00.000
3,ГорМонтаж, ООО,1564667734,79,2016-12-23 00:00:00.000
4,Микро, МКК,2293562756,64,2019-05-27 00:00:00.000
5,Электро, ЗАО,1755853973,14,2015-06-16 00:00:00.000
6,Компания Мотор, ООО,1429908355,50,2010-12-27 00:00:00.000
7,Асбоцем, МФО,1944834477,20,2011-04-10 00:00:00.000
8,ВостокМети, ООО,1488487851,58,2012-03-13 00:00:00.000
9,МясКрепТеле, ПАО,2152486844,59,2012-09-11 00:00:00.000
10,Софт, МКК,1036521658,67,2011-11-23 00:00:00.000
11,Компания СервисМикроО, ООО,1178826599,5,2012-07-07 00:00:00.000
12,ИнфоГазМотор, ОАО,1954050214,42,2011-07-23 00:00:00.000
13,Монтаж, ОАО,1163880101,10,2016-05-23 00:00:00.000
14,ЭлектроЦвет, ОАО,1654184411,3,2015-07-25 00:00:00.000
15,Компания НефтьITИнф, ООО,1685247455,85,2015-03-09 00:00:00.000
16,ТомскНефть, ООО,1002996016,95,2015-09-07 00:00:00.000
17,ТомскТяжРеч, МФО,1102143492,36,2014-12-22 00:00:00.000
18,УралХме, ООО,2291253256,82,2016-09-22 00:00:00.000
19,ВодРыб, ЗАО,1113468466,21,2011-11-25 00:00:00.000
20,УралСервисМон, МКК,1892306757,26,2016-12-20 00:00:00.000
21,Казань, ОАО,1965011544,51,2015-03-16 00:00:00.000
22,Cиб, ОАО,1949139718,95,2011-11-28 00:00:00.000
23,ГаражГазМ, ОАО,1740623312,86,2011-09-20 00:00:00.000
24,МобайлДизайнОмск, ООО,1014490629,73,2019-10-28 00:00:00.000
25,ЖелДорГаз, МФО,1255275062,76,2014-09-04 00:00:00.000
26,ТверьБухГаз, ОАО,2167673760,9,2013-11-13 00:00:00.000
27,ТелекомТранс, ОАО,2200735978,8,2015-01-11 00:00:00.000
28,ГаражГлав, МКК,1404774111,89,2013-07-28 00:00:00.000
29,Компания К, ПАО,1468114280,70,2018-12-07 00:00:00.000
30,ТяжЛифтВостокС, ОАО,1032089879,66,2012-08-13 00:00:00.000
31,Компания Во, ПАО,2027005945,11,2016-06-22 00:00:00.000
32,МоторКаз, ОАО,1076279398,37,2015-08-23 00:00:00.000
33,Сервис, ОАО,2031832854,25,2011-11-25 00:00:00.000
34,ЮпитерТомс, ПАО,1551173338,60,2011-07-28 00:00:00.000
35,Мор, МКК,1906157177,82,2011-03-06 00:00:00.000
36,СеверТехВостокЛизинг, ООО,1846812080,30,2011-02-26 00:00:00.000
37,ЦементОбл, ООО,2021607106,42,2015-09-03 00:00:00.000
38,Компания КазаньАвтоCиб, МКК,1371692583,23,2015-10-19 00:00:00.000
39,ГаражХозФлот, ОАО,2164720385,7,2018-07-28 00:00:00.000
40,Компания МорМетал, ООО,1947163072,33,2013-11-18 00:00:00.000
41,ГлавРыб, МФО,1426268088,46,2018-09-11 00:00:00.000
42,CибCибОрио, ООО,1988313615,95,2012-01-13 00:00:00.000
43,ТелеРыбХм, ООО,2299034130,3,2012-02-10 00:00:00.000
44,ГлавАвтоГазТрест, МФО,2059691335,18,2014-08-04 00:00:00.000
45,ТяжКазаньБашкир, ПАО,1794419510,85,2012-12-22 00:00:00.000
46,Асбоцемент, МФО,1650212184,80,2018-12-09 00:00:00.000
47,Мотор, ПАО,1019917089,19,2017-04-24 00:00:00.000
48,МорФинансФинансМаш, ООО,1549496316,68,2013-07-18 00:00:00.000
49,РыбВектор, ОАО,2275526397,92,2011-06-20 00:00:00.000
50,Теле, ПАО,2170198203,11,2010-05-01 00:00:00.000
